"","Location","Treatment","Location Bonferroni-corrected","Treatment Bonferroni-corrected"
"Unknown MST 139",0.742981153944503,0.261137785484404,193.918081179515,68.1569620114296
"Unknown MST 140",0.411706796520777,0.668125346309696,107.455473891923,174.380715386831
"Unknown MST 142",0.544709442847903,0.895407201262721,142.169164583303,233.70127952957
"Unknown MST 141",0.718351837894637,0.399151136195603,187.4898296905,104.178446547052
"Unknown MST 143",0.0805735363122284,0.740543606897325,21.0296929774916,193.281881400202
"Unknown MST 144",0.0635425278603083,0.671012363645403,16.5845997715405,175.13422691145
"Unknown MST 145",0.0448402992020912,0.377068368841752,11.7033180917458,98.4148442676973
"Unknown MST 146",0.480419768433609,0.926788536214175,125.389559561172,241.8918079519
"Unknown MST 147",0.181511235577319,0.750674122120263,47.3744324856802,195.925945873389
"Unknown MST 148",0.0156067330970042,0.915853942213206,4.0733573383181,239.037878917647
"Unknown MST 149",0.406297270090173,0.565714559284797,106.043587493535,147.651499973332
"Unknown MST 150",0.0834160741755679,0.777745189252537,21.7715953598232,202.991494394912
"Spermidine (5TMS)",0.981570202167736,0.646805569866196,256.189822765779,168.816253735077
"Indole-3-acetonitrile (1TMS)",0.300083948527168,0.395884999417448,78.3219105655909,103.325984847954
"Unknown MST 151",0.134975780777995,0.678909213312271,35.2286787830568,177.195304674503
"Unknown MST 152",0.588853239747397,0.528453076152454,153.690695574071,137.92625287579
"Unknown MST 153",0.118584975740101,0.691584972410873,30.9506786681662,180.503677799238
"Unknown MST 154",0.468701899524934,0.465460986645483,122.331195776008,121.485317514471
"Unknown MST 155",0.388217511785022,0.77716271547411,101.324770575891,202.839468738743
"Unknown MST 156",0.244386775763511,0.770805455709329,63.7849484742764,201.180223940135
"Unknown MST 157",0.48787691991058,0.683401870815067,127.335876096661,178.367888282733
"Unknown MST 158",0.176839486692009,0.815101693866284,46.1551060266144,212.7415420991
"Unknown MST 159",0.601281921625722,0.607483633814236,156.934581544313,158.553228425516
"Unknown MST 160",0.941467035563984,0.50933061189376,245.7228962822,132.935289704271
"Unknown MST 161",0.0573008096551703,0.957862460098112,14.9555113199994,250.002102085607
"Unknown MST 162",0.149347797826707,0.0768340558534647,38.9797752327706,20.0536885777543
"Sinapic acid, cis- (2TMS)",0.347262871326605,0.847524555330863,90.6356094162438,221.203908941355
"Unknown MST 163",0.738145848211276,0.698215235150775,192.656066383143,182.234176374352
"Fructose-6-phosphate (1MEOX) (6TMS) MP",0.456407374909773,0.632350582078917,119.122324851451,165.043501922597
"Unknown MST 164",0.022730919818,0.66666644167153,5.932770072498,173.999941276269
"Glucose-6-phosphate (1MEOX) (6TMS) MP",0.622223397354852,0.647604991929084,162.400306709616,169.024902893491
"Unknown MST 165",0.420429768488301,0.380550683275555,109.732169575447,99.3237283349199
"Unknown MST 166",0.0757559284196371,0.171329351840857,19.7722973175253,44.7169608304636
"Unknown MST 167",0.0438524751460426,0.445728209331553,11.4454960131171,116.335062635535
"Unknown MST 168",0.0222630499748826,0.63867057541635,5.81065604344435,166.693020183667
"Unknown MST 170",0.312009907389629,0.606226161976878,81.4345858286931,158.225028275965
"Unknown MST 169",0.940802333851328,0.992995611248372,245.549409135197,259.171854535825
"Unknown MST 171",0.580457572936948,0.624784985372213,151.499426536543,163.068881182148
"Unknown MST 172",0.290802367278643,0.507339548032571,75.8994178597258,132.415622036501
"Unknown MST 173",0.0851805071792041,0.532503980977806,22.2321123737723,138.983539035207
"Unknown MST 174",0.744609727448668,0.414422442634953,194.343138864102,108.164257527723
"Unknown MST 175",0.0874841626962648,0.986709326067397,22.8333664637251,257.53113410359
"Unknown MST 176",0.0940523043055898,0.473239209320668,24.5476514237589,123.515433632694
"Unknown MST 177",0.00818658882878936,0.475616328603906,2.13669968431402,124.135861765619
"Unknown MST 178",0.266857830652327,0.732541780912683,69.6498938002573,191.19340481821
"Unknown MST 179",0.308327039633961,0.266352459965465,80.4733573444637,69.5179920509863
"Dihydrosphingosine (3TMS) MP",0.704031453386014,0.230108870317038,183.75220933375,60.058415152747
"Unknown MST 180",0.17403450751945,0.563650135233403,45.4230064625765,147.112685295918
"Unknown MST 181",0.1736034237671,0.84119551744466,45.3104936032132,219.552030053056
"Unknown MST 182",0.00289891709474389,0.192787159970094,0.756617361728157,50.3174487521946
"Sucrose (8TMS)",0.0112582084422866,0.46053679020517,2.9383924034368,120.200102243549
"Unknown MST 183",0.00512749948108309,0.982176486924754,1.33827736456269,256.348063087361
"Unknown MST 184",0.536093967866716,0.0606325440046621,139.920525613213,15.8250939852168
"Unknown MST 185",0.171731590053411,0.833273855323197,44.8219450039403,217.484476239354
"Unknown MST 186",0.715930195029578,0.997463512409048,186.85778090272,260.337976738762
"Unknown MST 187",0.0736472665025658,0.635910339648299,19.2219365571697,165.972598648206
"Maltose (1MEOX) (8TMS) MP",0.466937900324826,0.879456290496067,121.87079198478,229.538091819474
"Trehalose (8TMS)",0.449034992719712,0.346473193476247,117.198133099845,90.4295034973005
"Unknown MST 188",0.689657070966854,0.584032724970778,180.000495522349,152.432541217373
"Unknown MST 189",0.498555414484549,0.525568771902326,130.122963180467,137.173449466507
"Unknown MST 190",0.959105148306825,0.411449749461703,250.326443708081,107.388384609504
"Unknown MST 191",0.865373842050925,0.431576417972013,225.862572775291,112.641445090695
"Unknown MST 192",0.180091458312752,0.390992849069138,47.0038706196282,102.049133607045
"Unknown MST 193",0.617064364395813,0.344684575276344,161.053799107307,89.9626741471258
"Unknown MST 194",0.417192436912372,0.100088879515935,108.887226034129,26.1231975536591
"Unknown MST 196",0.0818552564014,0.827381527798429,21.3642219207654,215.94657875539
"Unknown MST 195",0.28400437564728,0.871486084034934,74.1251420439401,227.457867933118
"Unknown MST 197",0.133571040486919,0.217829745952357,34.862041567086,56.8535636935653
"Unknown MST 198",0.627290076662362,0.279462195954268,163.722710008877,72.9396331440639
"Unknown MST 199",0.868013370768819,0.964058919690921,226.551489770662,251.61937803933
"Loganin (5TMS)",0.910272464125648,0.38158583262933,237.581113136794,99.5939023162552
"Secologanin (TMS) MP",0.58279108639374,0.359485817209368,152.108473548766,93.8257982916451
"Unknown MST 200",0.0717630449888208,0.0302389252440747,18.7301547420822,7.8923594887035
"Unknown MST 201",0.921170999715034,0.440196159498916,240.425630925624,114.891197629217
"Unknown MST 202",0.348788267260168,0.734942069483574,91.0337377549039,191.819880135213
"Raffinose (11TMS)",0.158020400152673,0.989127352250451,41.2433244398477,258.162238937368
"Unknown MST 203",0.842391733357454,0.443083534348727,219.864242406296,115.644802465018
"Unknown MST 204",0.414501105791238,0.229711670008477,108.184788611513,59.9547458722125
"Unknown MST 205",0.894877244778737,0.427344894456582,233.56296088725,111.537017453168
"Unknown MST 206",0.942035664013481,0.363042133391698,245.871308307519,94.7539968152332
"Unknown MST 207",0.605311017386542,0.132279463238234,157.986175537888,34.524939905179
"Unknown MST 208",0.46010048711107,0.61260724296594,120.086227135989,159.89049041411
"Unknown MST 209",0.644011656971919,0.787677398495735,168.087042469671,205.583801007387
